"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Brd8",0.0208098938291915,0.757199198347556,0.358,0.222,1
"Fzd3",0.020882615220328,1.89678149934824,0.086,0.026,1
"Dpysl5",0.0209882803226295,4.37855970381422,0.025,0.001,1
"Efcab14",0.0210014405580485,0.889034675802382,0.259,0.142,1
"Fam204a",0.0210876616137922,1.04843824397269,0.247,0.143,1
"Pdk3",0.0211019888682378,1.28269260267041,0.16,0.071,1
"Tspan4",0.0212067962818721,1.12896027281109,0.16,0.071,1
"Prdm10",0.021367083906766,0.640803006330419,0.16,0.083,1
"Myadm",0.0215039987255934,1.43677694222912,0.037,0.008,1
"AU021092",0.0215124950030734,1.61077236585776,0.049,0.011,1
"Irgm1",0.0215182920583371,1.63786732811736,0.025,0.019,1
"Lzic",0.0215310035988527,1.17044326403896,0.074,0.025,1
"Phf20",0.0216233634546336,0.685552760910069,0.395,0.291,1
"Gpsm1",0.0219201819909735,1.64314024613325,0.062,0.015,1
"Jarid2",0.0219458943621788,0.349411466420424,0.864,0.748,1
"Phldb1",0.0219746266853655,1.28549640023837,0.16,0.075,1
"Tap2",0.0220023812240819,0.81013417830088,0.074,0.027,1
"Fgl2",0.0220913610164471,2.73553871678392,0.025,0.002,1
"Hprt",0.0221140541565294,0.517847543048559,0.173,0.094,1
"Fbxo4",0.0222482596422767,1.06192865386379,0.148,0.063,1
"Chchd1",0.0223514369511869,1.39125114648759,0.123,0.046,1
"Coa5",0.0223618756718862,0.568419057302048,0.012,0.025,1
"Gm48512",0.0224212132638395,2.78656645866484,0.049,0.008,1
"Capza2",0.0227183382946031,0.549754023189135,0.247,0.145,1
"Calm1",0.022744884844629,1.05990712682122,0.173,0.079,1
"Ccdc18",0.022983172058355,2.62918219532762,0.049,0.008,1
"H2-DMb1",0.0229907605404143,1.72279464130715,0.074,0.02,1
"Slc8b1",0.0231962625477574,1.43989035339325,0.062,0.039,1
"Slc17a9",0.0235322120157143,3.22855129819208,0.037,0.006,1
"Gse1",0.0235549641262467,0.917529512495059,0.259,0.146,1
"Per1",0.0236649474232644,0.950884647215586,0.296,0.177,1
"Fbxl5",0.0237172814547609,0.797335084434458,0.272,0.153,1
"Cask",0.0239514403709816,0.5560706831239,0.37,0.236,1
"Chfr",0.0239597781999221,0.873159790742467,0.272,0.157,1
"Rell1",0.0240698494906072,1.03561055739016,0.086,0.031,1
"Foxn2",0.0242399115852776,0.994171614026353,0.21,0.106,1
"Pomp",0.0244906082187669,1.51657758276185,0.111,0.04,1
"Lyrm9",0.0244959535178301,1.85238963350471,0.086,0.026,1
"Ccdc12",0.0244973965663498,0.556783265661097,0.198,0.111,1
"Klf2",0.0245159106950276,1.42965417520467,0.049,0.012,1
"Prpf38a",0.0246793796906392,0.313355748964074,0.037,0.056,1
"Kdsr",0.0249503527917065,0.998391109448021,0.136,0.059,1
"Zfp446",0.0250804311955918,1.99572341840283,0.074,0.025,1
"4932422M17Rik",0.0250989075907362,2.02439329043116,0.074,0.022,1
"Skap2",0.0251426042608471,0.434475338488915,0.506,0.358,1
"Rasa2",0.0251874757481577,0.618797182407002,0.469,0.384,1
"Yif1b",0.0253847486307063,1.41918006940824,0.062,0.017,1
"Tmem123",0.0254801584143118,1.02724288101069,0.136,0.058,1
"Rer1",0.0254962201449956,1.13742309190383,0.185,0.089,1
"Atp6ap1",0.0255104325893331,0.514891229483609,0.148,0.081,1
"Ppp1r13b",0.0255965352855532,0.76626759599482,0.247,0.135,1
"Stk3",0.0257334968904872,0.458406037216758,0.543,0.394,1
"Sh3bp4",0.0258944419582098,1.20705315343664,0.173,0.08,1
"Myl3",0.0259445988188306,2.69495601899614,0.049,0.01,1
"Ppp2cb",0.026064138705057,1.01753673773977,0.173,0.08,1
"Gm15535",0.0262062497781021,4.28201216936342,0.025,0.002,1
"Zfp59",0.0265522983534555,2.20712560338277,0.049,0.017,1
"Acsl5",0.0265527333677505,1.36445446099702,0.136,0.056,1
"Gm20939",0.0265555782098667,1.18304473457697,0.012,0.017,1
"Fam210b",0.0265926697261451,2.62755736327452,0.049,0.009,1
"Hexim1",0.0267035998461286,1.15929495048668,0.099,0.037,1
"Igsf8",0.0267060388999229,2.32184098475118,0.062,0.016,1
"Slc7a2",0.0268087333218027,2.10872361329141,0.012,0.01,1
"Pgls",0.0269195351093539,0.751999757150283,0.037,0.044,1
"F830016B08Rik",0.0269854249841988,2.81926189165856,0.037,0.005,1
"Nol3",0.0270359517446617,2.45406068768453,0.025,0.003,1
"Atp13a2",0.0270389837650379,1.87338116189213,0.074,0.02,1
"Tmem167",0.027064108969717,1.07947972213365,0.21,0.122,1
"Gm11659",0.0272538618128345,1.86370803911187,0.074,0.02,1
"Fam219a",0.0275785252217285,1.1253034962263,0.198,0.1,1
"Arhgap29",0.0276430201314791,0.346627185062703,0.519,0.374,1
"Wrn",0.0278792851038031,0.205135242620804,0.21,0.14,1
"Thra",0.0278952850219326,0.746001079450495,0.148,0.072,1
"Pdlim2",0.0281717798385868,2.10330888343365,0.062,0.014,1
"Uggt1",0.0281859906509087,0.827778127321317,0.296,0.181,1
"Clcn4",0.0282409672017442,0.952460347447719,0.185,0.091,1
"C2",0.0284331743224072,0.647769723549552,0.049,0.068,1
"Gm14401",0.0285266810519471,2.73987695878838,0.037,0.005,1
"Parp14",0.0287194624923863,0.305283808878298,0.074,0.034,1
"Glg1",0.0289650129070101,0.461965534832021,0.593,0.501,1
"Gm19951",0.0290956058002642,0.976978286417891,0.16,0.076,1
"Stat2",0.0291030774008404,1.40221912574668,0.136,0.059,1
"Ltbp1",0.0293347827150427,0.525828491903652,0.062,0.021,1
"Wipf2",0.029409000780332,0.241769232257217,0.136,0.164,1
"Layn",0.0294440596432841,2.74387801094866,0.037,0.005,1
"Npc2",0.0294665017920346,0.530378461387864,0.136,0.072,1
"Cnpy4",0.0295302081299809,2.90457819748864,0.025,0.007,1
"Gm37229",0.029589329599683,3.94205175382565,0.025,0.002,1
"Sema3b",0.0297403092540415,1.63666341926823,0.099,0.036,1
"Tspan31",0.0300206134436233,1.24731249082839,0.136,0.057,1
"Mms22l",0.0301573765999751,0.362210684642313,0.012,0.03,1
"Galnt4",0.030165051079907,2.81261113131681,0.037,0.008,1
"Plekhm3",0.0301774990391336,0.969489633670283,0.222,0.117,1
"Ppig",0.0302312068765162,0.222506961129747,0.407,0.299,1
"Sh3bgrl",0.0302523867210431,0.709506175940808,0.21,0.114,1
"Gpx7",0.0303013904031897,4.14310630279977,0.025,0.002,1
"Flt1",0.0303504184157645,0.900221669948943,0.136,0.057,1
"Ctdnep1",0.0304066591228612,1.03343688867009,0.037,0.035,1
"Dpy19l3",0.0304835648172731,2.07888648784942,0.062,0.019,1
"Ccdc9b",0.0307095705498537,2.73100531901911,0.049,0.01,1
"Kmt2e",0.0308789575087101,0.24991134018179,0.852,0.735,1
"Myct1",0.0309394296819822,2.70553051816275,0.037,0.005,1
"A730081D07Rik",0.0310316556687696,0.872974165423709,0.099,0.04,1
"9930111J21Rik2",0.0311458987555922,2.43133987543998,0.049,0.009,1
"Neb",0.0313749044026265,2.1636677473687,0.037,0.015,1
"Mesd",0.0317433147739857,1.62171316306341,0.099,0.041,1
"Pik3r6",0.031744292704051,1.69755794068669,0.037,0.007,1
"Ndufa13",0.031854637978033,0.856903694405766,0.247,0.141,1
"Syt17",0.0320496495578344,0.88854782135566,0.123,0.055,1
"Tm9sf4",0.032108593784964,0.816132910337414,0.259,0.147,1
"2310022B05Rik",0.0323914422634254,2.51843448789688,0.049,0.009,1
"Tusc3",0.0324860747559157,0.562176657672047,0.235,0.138,1
"Vezt",0.0325692760752945,0.770530133000608,0.284,0.168,1
"Ginm1",0.0326790897492634,1.20027309347662,0.16,0.078,1
"Gm17655",0.0328331367475775,1.93938804881742,0.037,0.017,1
"Heatr6",0.0329157363347871,0.199172450498991,0.148,0.096,1
"Rnf145",0.0329257110335399,0.236048644841131,0.123,0.152,1
"Nrp1",0.0329899209905068,0.314686913252959,0.469,0.331,1
"Rev3l",0.0330703591852356,0.526409080966173,0.568,0.429,1
"Neu3",0.0333364692843212,3.0267341335024,0.037,0.005,1
